TTPH,TETRAPHASE PHARMACEUTICALS INC COM,2.45,+.32,+15.02%,"6,287,543",2.35,2.40,2.81,2.33,-16.91,18 M,<empty>
STWD,STARWOOD PROPERTY TRUST INC COM,16.46,+.55,+3.46%,"6,272,259",16.60,17.03,18.17,16.35,1.3,"4,646 M",56.90%
APPS,DIGITAL TURBINE INC COM,9.53,+.90,+10.43%,"6,232,384",9.34,9.65,9.80,8.50,.16,832 M,85.73%
CETX,CEMTREX INC COM,2.10,-.05,-2.33%,"6,223,526",2.10,2.12,2.25,1.90,-8.32,27 M,<empty>
WMC,WESTERN ASSET MORTGAGE CAPITAL COM,2.93,+.36,+14.01%,"6,158,785",3.08,3.14,3.59,2.90,-6.36,157 M,241.09%
BPY,BROOKFIELD PROP PARTNERS LP UNIT LTD PARTNERSHIP,12.84,+.87,+7.27%,"6,114,535",12.76,12.77,13.37,12.77,1.08,"11,955 M",76.05%
APHA,APHRIA INC COM,4.39,-.05,-1.13%,"6,076,796",4.35,4.39,4.52,4.33,.0903,"1,175 M",97.74%
TRPX,THERAPIX BIOSCIENCES LTD ADR SPONSORED,.6642,+.1142,+20.76%,"6,030,444",.6600,.6879,.7500,.5504,-2.48,3.8 M,<empty>
PLYA,PLAYA HOTELS & RESORTS N V COM,3.675,-.345,-8.58%,"6,022,272",3.83,3.85,4.46,3.61,-.53,489 M,286.29%
DXC,DXC TECHNOLOGY COMPANY COM,18.00,+.40,+2.27%,"5,945,862",17.70,18.50,19.4617,17.90,-20.76,"4,568 M",77.50%
BTU,PEABODY ENERGY CO COM,4.32,+.99,+29.73%,"5,901,189",4.48,4.57,4.44,3.42,-4.51,422 M,114.11%
